;;;;
1;ABC;ORG;Công ty Truyền thông ABC;0.000683
2;ADB;ORG;Ngân hàng Phát triển châu Á;0.000791
3;ADN;DNA;AND;0.000539
4;ANĐT;;an ninh điều tra;0.000196
5;ATGT;;An toàn Giao thông;0.000252
6;ATM;;Máy rút tiền tự động;0.001958
7;ATNĐ;;áp thấp nhiệt đới;0.00022
8;ATTT;;An toàn Trật tự;0.000002
9;ATTTGT;;An toàn Trật tự Giao thông;0.000003
10;ATVSTP;;an toàn vệ sinh thực phẩm;0.000079
11;BBCVT;ORG;Bộ Bưu chính Viễn thông;0.000025
12;BBT;ORG;Ban biên tập;0.000138
13;BC;Bán công, Bưu chính;0.001078
14;BCĐ;ORG;Ban chỉ đạo;0.000119
15;BCĐĐMĐH;ORG;Ban chỉ đạo đổi mới đại học;0.000003
16;BCĐPCTNTƯ;ORG;Ban chỉ đạo phòng chống tham nhũng trung ương;0.000004
17;BCĐQG;ORG;Ban chỉ đạo Quốc gia;0.000001
18;BCĐT;;Bưu chính điện tử;0.000008
19;BCĐTS;ORG;Ban chỉ đạo tuyển sinh;0.000005
20;BCHCD;ORG;Ban chỉ huy chiến dịch;0.000001
21;BCHQS;ORG;Bộ chỉ huy quân sự;0.00002
22;BCHTƯ;ORG;Ban chỉ huy trung ương;0.000029
23;BCHTW;ORG;Ban chỉ huy trung ương;0.000025
24;BCVT;ORG;Bưu chính Viễn thông;0.000553
25;BD;ORG;Bình Dương;0.000575
26;BĐ;;Bóng đá;0.000783
27;BĐN;LOC;Bồ Đào Nha;0.000163
28;BĐS;;bất động sản;0.001204
29;BĐVN;ORG;Bóng đá Việt Nam;0.000097
30;BGD;ORG;Bộ Giáo dục;0.000097
31;BGDĐT;ORG;Bộ Giáo dục và Đào tạo;0.000039
32;BGH;ORG;Ban giám hiệu;0.000094
33;BGK;ORG;Ban giám khảo;0.000336
34;BH;;Bảo hiểm;0.000419
35;BHĐC;;bán hàng đa cấp ;0.000076
36;BHL;ORG;Ban huấn luyện;0.001123
37;BHV;ORG;Ban huấn luyện;0.000083
38;BHXH;ORG;Bảo hiểm xã hội;0.001234
39;BHYT;ORG;Bảo hiểm y tế;0.002012
40;BIDV;ORG;Ngân hàng Đầu tư và Phát triển Việt Nam;0.000492
41;BK;;Bách khoa;0.000207
42;BKS;ORG;Ban Kiểm soát, biển kiểm soát;0.000339
43;BLHS;;Bộ luật Hình sự;0.000123
44;BP;ORG;Biên phòng;0.000344
45;BQL;ORG;Ban quản lý;0.00084
46;BQLDA;ORG;Ban Quản lý dự án;0.000112
47;BSC;ORG;Công ty Chứng khoán Ngân hàng Đầu tư & Phát triển Việt Nam;0.000092
48;BT;;bảo trì, bộ trưởng;0.000434
49;BTA;;Hiệp định Thương mại Việt - Mỹ;0.000316
50;BTBNN;;bảo trợ bệnh nhân nghèo;0.000077
51;BTC;ORG;Ban tổ chức;0.003648
52;BTS;ORG;Ban tuyển sinh;0.000175
53;BTV;PER;Biên tập viên;0.000182
54;BTVH;;Bổ túc Văn hóa;0.000037
55;BV;ORG;Bện viện;0.008244
56;BVĐK;ORG;Bệnh viện Đa khoa;0.000146
57;BVTV;;Bảo vệ thực vật;0.000134
58;BX;ORG;Bến xe;0.000221
59;BXL;ORG;Bộ xử lý;0.000088
60;CAHN;ORG;Công an Hà Nội;0.000093
61;CAND;ORG;Công an Nhân dân;0.000321
62;CATP;ORG;Công an Thành phố;0.000232
63;CB;;Cơ bản, Cán bộ, Chế biến;0.000744
64;CBCC;PER;cán bộ công chức;0.000164
65;CBCNV;PER;Cán bộ công nhân viên;0.000338
66;CBQLGD;PER;cán bộ quản lý giáo dục;0.000179
67;CCB;PER;Cựu chiến binh;0.000168
68;CCHC;;cải cách hành chính;0.000336
69;CĐ;;Cao đẳng;0.016276
70;CĐDC;;chất độc da cam ;0.000163
71;CĐSP;ORG;Cao đẳng Sư phạm;0.0004
72;CĐV;PER;Cổ động viên;0.001514
73;CG;ORG;Nhóm các nhà tài trợ cho Việt Nam;0.000135
74;CHDC;;Cộng hòa Dân chủ;0.000129
75;CHDCND;;Cộng hòa Dân chủ Nhân dân;0.00186
76;CHLB;;Cộng hòa Liên bang;0.000467
77;CHND;;Cộng hòa Nhân dân;0.000133
78;CK;;Chứng khoán;0.000396
79;CLB;ORG;Câu lạc bộ;0.01458
80;CMND;;Chứng minh nhân dân;0.001271
81;CNCN;ORG;Chi nhánh Cấp nước;0.000123
82;CNH;;Công nghiệp hóa;0.000091
83;CNKT;PER;công nhân kỹ thuật;0.000095
84;CNQSDĐ;;chứng nhận quyền sử dụng đất;0.000092
85;CNSH;;Công nghệ sinh học;0.000102
86;CNTN;PER;cử nhân tài năng ;0.000097
87;CNTT;;Công nghệ thông tin;0.004661
88;CNV;PER;Công nhân viên;0.000394
89;CNVC;PER;Công nhân viên chức;0.000074
90;COPD;;bệnh phổi tắc nghẽn mãn tính;0.000109
91;CP;;Cổ phần, cổ phiếu;0.003568
92;CPE;;Hợp đồng lao động đầu tiên;0.000125
93;CPH;;Cổ phần hóa;0.000818
94;CPP;ORG;Đảng Nhân dân Campuchia;0.000161
95;CPSXTM;;cổ phần Xây dựng sản xuất thương mại;0.000001
96;CPTD;;cổ phiếu tự do;0.003568
97;CPTTT;;chậm phát triển trí tuệ;0.000008
98;CPXD;;cấp phép xây dựng;0.000141
99;CQĐT;ORG;Cơ quan điều tra;0.002575
100;CSCĐ;ORG;cảnh sát cơ động;0.000076
101;CSDC;ORG;cảnh sát dã chiến;0.000003
102;CSDL;;Cơ sở Dữ liệu;0.00004
103;CSĐN;ORG;cảnh sát đặc nhiệm;0.000015
104;CSĐT;ORG;Cảnh sát điều tra, cơ sở đào tạo;0.002726
105;CSĐTLX;;cơ sở đào tạo lái xe;0.000003
106;CSĐTTP;ORG;Cảnh sát Điều tra tội phạm;0.00011
107;CSĐTTPMT;ORG;Cảnh sát điều tra tội phạm ma túy;0.000003
108;CSG;ORG;Cảng Sài Gòn;0.001528
109;CSGT;ORG;Cảnh sát giao thông;0.004006
110;CSHS;ORG;Cảnh sát Hình sự;0.000134
111;CSKH;;Chăm sóc khách hàng;0.000015
112;CSKT;ORG;Cảnh sát kinh tế;0.000027
113;CSKV;ORG;Cảnh sát khu vực;0.000035
114;CSPCTPMT;ORG;Cục cảnh sát phòng chống tội phạm ma túy;0.000002
115;CSPK;;công suất phản kháng;0.000009
116;CSQLHC;ORG;Cảnh sát Quản lý hành chính;0.000004
117;CSSD;ORG;Đảng Xã hội Dân chủ cánh tả;0.000007
118;CSSX;;cơ sở sản xuất;0.000038
119;CSVC;;Cơ sở vật chất;0.000018
120;CSVL;ORG;Cao su Việt - Lào ;0.000005
121;CSVN;ORG;Cộng sản Việt Nam;0.000051
122;CSXH;;chính sách xã hội;0.000052
123;CT;;Chính trị, Công ty;0.003486
124;CTCC;;Công trình Công cộng;0.00002
125;CTCH;;chấn thương chỉnh hình;0.00002
126;CTCK;ORG;công ty chứng khoán;0.000051
127;CTCLQG;ORG;Chương trình chống lao quốc gia;0.000001
128;CTCN;ORG;Công ty Cấp nước;0.000051
129;CTCP;ORG;Công ty Cổ phần;0.000026
130;CTĐ;;Chữ thập đỏ;0.000097
131;CTĐL;ORG;Công ty Điện lực;0.000407
132;CTN;;chuyển tiền nhanh;0.000061
133;CTSN;;Chấn thương sọ não;0.000073
134;CTTC;;cho thuê tài chính ;0.000032
135;CTTH;;chương trình truyền hình;0.000036
136;CTTNHH;ORG;Công ty Trách nhiệm Hữu hạn;0.000003
137;CTTT;;chương trình tiên tiến;0.000068
138;CTV;PER;cộng tác viên;0.000126
139;CTXH;;Công tác xã hội ;0.000137
140;CV;PER;Chuyên viên;0.000655
141;CVPM;ORG;Công viên phần mềm ;0.000051
142;CX;;Cư xá;0.000105
143;DAGTĐT;;dự án giao thông đô thị;0.000003
144;ĐATP;ORG;Đông Á - Thép Pomina ;0.00048
145;ĐB;;Đại biểu, Đồng bằng;0.004442
146;ĐBDT;;đồng bào dân tộc;0.00001
147;ĐBP;;Điện Biên Phủ;0.000123
148;ĐBQH;PER;Đại biểu quốc hội;0.000446
149;ĐBSCL;LOC;Đồng bằng sông Cửu Long;0.003476
150;ĐBTN;PER;Đại biểu thanh niên;0.000013
151;ĐBTSXB;;đánh bắt thủy sản xa bờ;0.000011
152;ĐC;;địa chỉ, điều chế;0.000163
153;DCCH;;Dân chủ Cộng hòa;0.000001
154;ĐCS;ORG;Đảng cộng sản;0.000038
155;ĐCSTQ;ORG;Đảng cộng sản Trung Quốc;0.000012
156;ĐCSVN;ORG;Đảng cộng sản Việt Nam;0.00001
157;DD;;Dân dụng, Dinh dưỡng;0.000076
158;ĐD;;Đại diện;0.000144
159;ĐĐ;;Động đất, đất đai;0.000171
160;DDVN;;Duyên Dáng Việt Nam;0.001194
161;ĐH;;Đại học;0.077582
162;ĐHBC;ORG;Đại học Bán công;0.000132
163;ĐHBK;ORG;Đại học Bách khoa;0.000219
164;ĐHBKHCM;ORG;Đại học Bách khoa Thành phố Hồ Chí Minh;0.000001
165;ĐHBKHN;ORG;Đại học Bách khoa Hà Nội;0.000027
166;ĐHBKTPHCM;ORG;Đại học Bách khoa Thành phố Hồ Chí Minh;0.000009
167;ĐHCĐ;;đại hội cổ đông, Đại học Công đoàn;0.00003
168;ĐHCLC;;đại học chất lượng cao;0.000024
169;ĐHCN;ORG;đại học Công nghệ;0.000025
170;ĐHCT;ORG;Đại học Cần Thơ;0.000072
171;ĐHĐCQT;ORG;Đại học đẳng cấp quốc tế;0.000024
172;ĐHĐD;ORG;Đại học Đông Dương;0.00004
173;ĐHDL;ORG;Đại học Dân lập;0.002496
174;ĐHĐN;ORG;Đại học Đà nẵng;0.000058
175;ĐHGTVT;ORG;Đại học Giao thông Vận tải;0.00004
176;ĐHHB;ORG;Đại học Hồng Bàng;0.000018
177;ĐHHVN;ORG;Đại học Hàng hải Việt Nam;0.000002
178;ĐHKH;ORG;Đại học Khoa học;0.000088
179;ĐHKHTN;ORG;Đại học Khoa học tự nhiên;0.000119
180;ĐHKHTNHN;ORG;Đại học Khoa học tự nhiên Hà nội;0.000001
181;ĐHKHXH;ORG;Đại học Khoa học Xã hội;0.000256
182;ĐHKT;ORG;Đại học Kỹ thuật;0.000093
183;DHKTCN;ORG;Đại học Kỹ thuật Công nghệ;0.000003
184;ĐHKTCN;ORG;Đại học Kỹ thuật Công nghệ;0.000002
185;ĐHKTQD;ORG;Đại học Kinh tế Quốc dân;0.000021
186;ĐHN;;Điện hạt nhân, đồng hồ nước;0.000395
187;ĐHNT;ORG;Đại học Nha Trang;0.00004
188;ĐHQG;ORG;Đại học Quốc gia;0.002471
189;ĐHQGHN;ORG;Đại học Quốc gia Hà nội;0.000155
190;DHS;PER;du học sinh;0.000252
191;ĐHSP;ORG;Đại học Sư phạm;0.000465
192;ĐK;;Đăng ký;0.000134
193;ĐKDT;;đăng ký dự thi;0.001429
194;ĐKĐT;;điện kế điện tử;0.001803
195;ĐKHK;;Đăng ký hộ khẩu;0.000458
196;ĐKKD;;Đăng ký kinh doanh;0.000133
197;ĐKKH;;đăng ký kết hôn;0.0001
198;ĐKVĐ;;Đương kim vô địch;0.001665
199;ĐKVN;;Điền kinh Việt Nam;0.000027
200;ĐKXT;;đăng ký xét tuyển ;0.000035
201;DL;;Du lịch;0.000849
202;ĐL;;đo lường;0.00047
203;ĐLTP;;điện kế điện tử ;0.000079
204;ĐMN;;Đá Mỹ Nghệ;0.000112
205;DN;;Doanh nghiệp;0.020849
206;ĐN;LOC;Đồng nai, Đà nẵng;0.000783
207;ĐNA;LOC;Đông nam á;0.000347
208;ĐNÁ;LOC;Đông Nam Á;0.000099
209;DNNN;;Doanh nghiệp nhà nước;0.001227
210;DNT;;Doanh nghiệp trẻ ;0.00045
211;DNTN;;Doanh nghiệp Tư nhân;0.000572
212;DNVN;;doanh nghiệp Việt Nam;0.000062
213;DNVVN;;doanh nghiệp vừa và nhỏ;0.000078
214;ĐRL;;điểm rèn luyện;0.000058
215;DS;;dân số;0.0003
216;ĐS;;đường sắt;0.000139
217;ĐSQ;ORG;đại sứ quán;0.000386
218;DT;;dự tuyển;0.000248
219;ĐT;;Đào tạo;0.025052
220;ĐTA;;đồng tính ái;0.000083
221;ĐTB;;điểm trung bình;0.000032
222;ĐTĐ;;đái tháo đường;0.00014
223;ĐTDĐ;;Điện thoại di động;0.005684
224;DTHT;;dạy thêm học thêm;0.000177
225;ĐTHVN;ORG;Đài truyền hình Việt Nam;0.000007
226;ĐTLA;;Đồng tính luyến ái;0.00021
227;ĐTLT;;đào tạo liên thông;0.000091
228;ĐTNN;;đầu tư nước ngoài;0.000257
229;DTQG;ORG;Đội tuyển quốc gia;0.000035
230;ĐTQG;ORG;Đội tuyển quốc gia;0.000835
231;ĐTTX;;Đào tạo từ xa;0.000052
232;ĐTTXQM;;Đào tạo từ xa Qua mạng;0.000003
233;ĐTV;PER;điều tra viên;0.000033
234;ĐTVHD;;động thực vật hoang dã;0.000015
235;ĐTVN;ORG;Đội tuyển Việt Nam;0.000372
236;ĐTXDCB;;đầu tư xây dựng cơ bả;0.000035
237;DV;;Dịch vụ, Diễn viên;0.00037
238;ĐV;PER;Đoàn viên;0.000252
239;ĐVHT;;Đơn vị học trình;0.000008
240;DVTMCM;ORG;dịch vụ thương mại Cà Mau;0.000008
241;ĐVTN;PER;đoàn viên thanh niên;0.000699
242;DVTT;;Dịch vụ trực tuyến, dịch vụ thông tin;0.000003
243;ĐVTTN;ORG;Đoàn viên thanh thiếu nhi;0.000002
244;ĐVƯT;PER;đoàn viên ưu tú;0.000003
245;DVVL;;dịch vụ việc làm;0.000077
246;EU;ORG;Liên minh châu Âu;0.006917
247;EVN;ORG;Công ty Viễn thông điện lực;0.001928
248;FIFA;ORG;Liên đoàn bóng đá thế giới;0.002269
249;GATT;;Hiệp định chung về Thuế quan và Thương mại ;0.0001
250;GCMND;;giấy chứng minh nhân dân;0.000013
251;GCN;;Giấy chứng nhận;0.000832
252;GCNĐKKD;;Giấy chứng nhận đăng ký kinh doanh;0.000003
253;GCNKQT;;giấy chứng nhận kết quả thi ;0.000039
254;GCNQSD;;giấy chứng nhận quyền sử dụng;0.000029
255;GCNQSDĐ;;Giấy chứng nhận quyền sử dụng đất;0.000214
256;GCNQSDĐƠ;;Giấy chứng nhận quyền sử dụng đất ở;0.000004
257;GCNQSH;;Giấy chứng nhận quyền sở hữu;0.00001
258;GCNQSHN;;Giấy chứng nhận quyền sở hữu nhà;0.000026
259;GCNQSHNƠ;;Giấy chứng nhận quyền sở hữu nhà ở;0.000076
260;GCNSK;;giấy chứng nhận sức khỏe;0.000006
261;GCQ;;giấy chủ quyền;0.000057
262;GD;;Giáo dục;0.019989
263;GĐ;PER;Giám đốc;0.001792
264;GDĐH;;giáo dục dục đại học;0.000496
265;GĐĐH;;giám đốc điều hành;0.000107
266;GDĐT;;Giáo dục & Đào tạo;0.000386
267;GDGT;;giáo dục giới tính ;0.00021
268;GDNN;;giáo dục nghề nghiệp;0.00004
269;GĐT;ORG;Gạch Đồng Tâm;0.000634
270;GĐTLA;ORG;Gạch Đồng Tâm Long An;0.001633
271;GĐTT;PER;Giám đốc thông tin;0.000008
272;GDTX;;Giáo dục thường xuyên ;0.000131
273;GHPGVN;ORG;Giáo hội Phật giáo Việt Nam;0.000076
274;GK;;Giáo khoa;0.000029
275;GKQT;;chứng nhận kết quả thi;0.000014
276;GL;LOC;Gia Lai;0.000215
277;GMD;PER;gái mại dâm ;0.000223
278;GP;;Giấy phép;0.000113
279;GPC;ORG;Công ty Dịch vụ Viễn thông;0.000185
280;GPLHĐB;;giấy phép lưu hành đặc biệt;0.00009
281;GPLX;;Giấy phép lái xe;0.000704
282;GPNK;;phép nhập khẩu;0.000004
283;GPTM;;giải phẫu thẩm mỹ;0.000167
284;GPXD;;Giấy phép xây dựng;0.000078
285;GS;PER;Giáo sư;0.000098
285;GSTS;PER;Giáo sư Tiến sỹ;0.000098
286;GSTSKH;PER;Giáo sư Tiến sỹ Khoa học;0.000001
287;GSTT;PER;giám sát trọng tài;0.000004
288;GT;;Giao thông , Giá trị;0.000304
289;GTCC;;Giao thông Công chánh;0.001773
290;GTGT;;Giá trị gia tăng;0.000674
291;GTMT;;giãn tĩnh mạch tinh;0.000072
292;GTVT;;Giao thông Vận tải;0.00265
293;GV;PER;Giáo viên, Giảng viên;0.003691
294;GVCN;PER;Giáo viên chủ nhiệm;0.000016
295;GVG;PER;giáo viên giỏi ;0.00002
296;GVMN;PER;giáo viên mầm non, giáo viên miền núi;0.000004
297;GVTH;PER;giáo viên tiểu học;0.000054
298;GVTN;PER;giáo viên tình nguyện;0.000025
299;HAGL;ORG;Hoàng Anh Gia Lai;0.002671
300;HB;;Học bổng;0.000496
301;HBV;;virus viêm gan B;0.000085
302;HC;;hành chính, huy chương;0.000871
303;HCB;;Huy chương bạc;0.00073
304;HCĐ;;Huy chương đồng;0.000567
305;HCM;PER;Hồ Chí Minh;0.113195
306;HCTC;;học chế tín chỉ ;0.000057
307;HCTL;;hội chợ triển lăm;0.00002
308;HCV;;Huy chương vàng;0.002659
309;HCVL;;Hội chợ việc làm ;0.000012
310;HD;;Hướng dẫn;0.000378
311;HĐ;;Hội đồng, Hợp đồng;0.000321
312;HĐBA;ORG;Hội đồng Bảo an Liên Hiệp Quốc;0.00059
313;HĐCD;ORG;Hội đồng chức danh;0.000005
314;HĐCDGS;ORG;Hội đồng chức danh giáo sư;0.000003
315;HĐCDGSCS;ORG;Hội đồng chức danh giáo sư cơ sở;0.000004
316;HĐCDGSN;ORG;Hội đồng Chức danh giáo sư ngành;0.000004
317;HĐCDGSNN;ORG;Hội đồng Chức danh giáo sư nhà nước;0.000025
318;HĐCT;ORG;hội đồng coi thi;0.000018
319;HĐĐB;ORG;Hội đồng Đền bù;0.000002
320;HĐĐG;ORG;Hội đồng định giá;0.000013
321;HĐH;;Hệ điều hành;0.000307
322;HĐKT;;hợp đồng kinh tế;0.000023
323;HĐLĐ;;Hợp đồng lao động ;0.00012
324;HĐNDTP;ORG;Hội đồng nhân dân thành phố;0.000039
325;HĐNT;;hội đồng nghệ thuật;0.000131
326;HĐQT;;Hội đồng Quản trị;0.00153
327;HĐT;ORG;hội đồng trường , hội đồng thi ;0.000436
328;HĐTĐ;ORG;Hội đồng thẩm định;0.000034
329;HĐTS;ORG;Hội đồng tuyển sinh;0.000072
330;HĐTT;ORG;Hội đồng Trọng tài;0.000105
331;HDV;PER;hướng dẫn viên;0.000386
332;HĐXX;ORG;Hội đồng xét xử;0.001668
333;HH;PER;Hoa hậu;0.000404
334;HHTG;PER;Hoa hậu Thế giới;0.000112
335;HHVN;PER;Hoa hậu Việt Nam;0.00013
336;HK;;Học kỳ;0.000626
337;HKDD;;Hàng không dân dụng;0.000026
338;HKDDVN;ORG;Hàng không dân dụng Việt Nam;0.000014
339;HKHKT;ORG;hội khoa học kỹ thuật;0.000002
340;HKHKTVN;ORG;hội khoa học kỹ thuật Việt Nam;0.000001
341;HKTT;;hộ khẩu thường trú;0.000139
342;HL;;huấn luyện;0.000162
343;HLBĐ;ORG;Hoa Lâm Bình Định;0.000108
344;HLQG;;Huấn luyện Quốc gia;0.000038
345;HLTTQG;ORG;Trung tâm huấn luyện thể thao quốc gia;0.000135
346;HLV;PER;Huấn luyện viên;0.020905
347;HMNĐ;;hiến máu nhân đạo;0.000063
348;HN;;Hà Nội, Hội nghị;0.003041
349;HND;ORG;Hội nông dân;0.000032
350;HNGĐ;;hôn nhân gia đình;0.000011
351;HNHT;ORG;hội nghị hiệp thương ;0.000011
352;HNV;ORG;Hội Nhà văn;0.000047
353;HP;;Hải phòng, Học phần;0.004214
354;HPHN;ORG;Hòa Phát Hà Nội ;0.000092
355;HQ;;Hải quan, Hàn quốc;0.001871
356;HQĐT;ORG;Hải quan điện tử;0.000062
357;HQHP;ORG;Hải quan Hải phòng;0.000003
358;HS;PER;Học sinh;0.017442
359;HSBC;PER;Học sinh bán công;0.000444
360;HSĐKDT;;Hồ sơ đăng ký dự thi;0.00004
361;HSDPA;;Truy nhập gói đường xuống tốc độ cao;0.000092
362;HSG;PER;học sinh giỏi;0.000112
363;HSGQG;PER;học sinh giỏi Quốc gia;0.000026
364;HSGQT;PER;học sinh giỏi Quốc tế;0.000001
365;HSPT;PER;học sinh phổ thông;0.00016
366;HSSV;PER;Học sinh sinh viên;0.000813
367;HSV;ORG;Hội sinh viên;0.000098
368;HTCĐ;;học tập cộng đồng;0.000002
369;HTXDVNN;ORG;Hợp tác xã dịch vụ nông nghiệp;0.000001
370;HUD;ORG;Tổng công ty Đầu tư phát triển nhà và đô thị ;0.000231
371;HV;;Học viên;0.000565
372;HVANND;ORG;Học viện An ninh Nhân dân;0.000001
373;HVBCVT;ORG;Học viện Bưu chính Viễn thông;0.000001
374;HVCH;ORG;Học viên Cao học;0.000001
375;HVCNBCVT;ORG;Học viện Công nghệ Bưu chính Viễn thông;0.000001
376;HVKHQS;ORG;Học viện Khoa học Quân sự;0.000001
377;HVN;ORG;Honda Việt Nam;0.000124
378;HVNCL;;Hàng Việt Nam chất lượng;0.000001
379;HVNCLC;;Hàng Việt Nam chất lượng cao;0.000039
380;HVNH;ORG;Học viện Ngân hàng;0.000002
381;IMF;;Quỹ tiền tệ quốc tế;0.00063
382;KBNN;ORG;Kho bạc Nhà nước;0.000114
383;KBS;ORG;Kênh truyền hình TW Hàn Quốc;0.000137
384;KCB;;khám chữa bệnh;0.00087
385;KCN;;Khu công nghiệp;0.002442
386;KCX;;Khu chế xuất;0.000707
387;KDC;;khu dân cư;0.000315
388;KĐCL;;Kiểm định chất lượng;0.000058
389;KĐCLGD;;Kiểm định chất lượng Giáo dục;0.000061
390;KDCN;;Kiểu dáng công nghiệp;0.000018
391;KDDV;;kinh doanh dịch vụ;0.000001
392;KDĐV;;Kiểm dịch động vật;0.000003
393;KDHĐC;;kinh doanh hàng đa cấp;0.000003
394;KDL;;Khu du lịch;0.00013
395;KDN;;Kinh doanh nhà;0.000019
396;KDNPN;ORG;Kinh doanh nhà Phú Nhuận;0.000004
397;KĐS;;Khu đường sông;0.00003
398;KĐT;;Khu đô thị;0.000105
399;KĐTM;;Khu đô thị mới;0.000065
400;KĐTNTL;ORG;Đô thị Nam Thăng Long;0.00004
401;KH;;Kế hoạch;0.002951
402;KHCN;;Khoa học Công nghệ;0.000511
403;KHĐT;;Kế hoạch Đầu tư;0.000134
404;KHKD;;Kế hoạch kinh doanh;0.000033
405;KHKT;;Khoa học Kỹ thuật;0.000172
406;KHKTHN;;Khoa học Kỹ thuật Hạt nhân;0.000002
407;KHKTHS;;Khoa học kỹ thuật hình sự;0.000002
408;KHKTNN;;Khoa học kỹ thuật Nông nghiệp;0.000008
409;KHKTNNMN;ORG;Khoa học kỹ thuật Nông nghiệp miền Nam;0.000001
410;KHLS;;Khoa học lịch sử;0.000011
411;KHTN;;Khoa học Tự nhiên;0.000581
412;KHXH;;Khoa học Xãn hội;0.001798
413;KK;;Khuyến khích;0.0001
414;KKT;;khu kinh tế;0.000124
415;KL;;Kết luận;0.000109
416;KLĐT;;kết luận điều tra;0.000019
417;KLQG;;Kỷ lục quốc gia ;0.000068
418;KN;;Khuyến nông;0.000112
419;KNTC;;khiếu nại tố cáo;0.000138
420;KP;;khu phố;0.000312
421;KS;PER;Kỹ sư, Khách sạn;0.001101
422;KSND;ORG;Kiểm sát nhân dân;0.002588
423;KSNDTC;ORG;Kiểm sát Nhân dân Tối cao;0.000169
424;KST;;ký sinh trùng;0.000069
425;KSV;PER;kiểm sát viên;0.00007
426;KTM;;Khu thương mại;0.00011
427;KTNN;;Kinh tế nhà nước;0.000231
428;KTQD;;kinh tế quốc dân;0.000062
429;KTQDHN;ORG;Kinh tế Quốc dân Hà Nội;0.000002
430;KTS;PER;Kiến trúc sư;0.00072
431;KTTV;;khí tượng thủy văn;0.000037
432;KTV;PER;Kỹ thuật viên;0.000107
433;KTX;;Ký túc xá;0.002402
434;KV;;Khu vực;0.000429
435;KV1;LOC;Khu vực 1;0.000392
436;KV2;LOC;Khu vực 2;0.000528
437;KV3;LOC;Khu vực 3;0.000297
438;LB;;Liên bang;0.000428
439;LCT;;Luật Cạnh tranh, Luật công ty;0.000038
440;LĐ;;Lao động;0.004849
441;LĐBĐ;ORG;Liên đoàn bóng đá;0.002098
442;LĐBĐVN;ORG;Liên đoàn bóng đá Việt Nam;0.002445
443;LĐLĐ;ORG;Liên đoàn Lao động;0.000132
